,name,rating,review,comp_type,headquaters,year_old,total_employee
425,Essar Steel,3.9,(768 Reviews),Private,"Mumbai,Maharashtra + 29 more",45 years old,10k-50k employees (Global)
426,Akums Drugs & Phar...,4.2,(768 Reviews),Private,"Delhi/NCR,New Delhi + 21 more",17 years old,5k-10k employees (Global)
427,Consolidated Contr...,4.6,(767 Reviews),Public,"Marousi,Alger + 33 more",69 years old,1k-5k employees (India)
428,KFC,4.2,(764 Reviews),Private,"Louisville,Kentucky + 104 more",69 years old,1k-5k employees (India)
429,Angel Broking,3.9,(761 Reviews),Private,"Mumbai,Maharashtra + 95 more",29 years old,1k-5k employees (India)
430,Adecco Group,3.9,(760 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 96 more",22 years old,1k-5k employees (India)
431,Bharat Financial I...,4.1,(760 Reviews),Public,Hyderabad + 184 more,23 years old,10k-50k employees (India)
432,CSS Corp,3.7,(759 Reviews),Private,"San Jose,California + 18 more",25 years old,1k-5k employees (India)
433,Narayana Education...,3.7,(759 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 77 more",36 years old,10k-50k employees (Global)
434,Syngene Internatio...,3.8,(759 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 10 more",28 years old,1k-5k employees (India)
435,SGS,3.9,(758 Reviews),Private,"Geneva,Geneva + 67 more",143 years old,1k-5k employees (India)
436,TVS Logistics Serv...,4.1,(758 Reviews),Private,"Chennai,Tamil Nadu + 74 more",17 years old,10k-50k employees (Global)
437,Ninjacart,3.3,(755 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 51 more",6 years old,1k-5k employees (Global)
438,ValueLabs,3.4,(755 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 9 more",24 years old,5k-10k employees (Global)
439,Novartis Healthcar...,4.3,(755 Reviews),Public,"Mumbai,Maharashtra + 45 more",25 years old,1k-5k employees (India)
440,Edelweiss,3.8,(753 Reviews),Public,"Mumbai,Maharashtra + 94 more",4 years old,10k-50k employees (Global)
441,Tata Sky,4.1,(751 Reviews),Public,"Mumbai,Maharashtra + 125 more",15 years old,1k-5k employees (India)
442,Dr Lal PathLabs,4.2,(749 Reviews),Public,"Gurgaon/Gurugram,Haryana + 96 more",72 years old,1k-5k employees (Global)
443,Badve Engineering,4.0,(745 Reviews),Private,"Aurangabad,Maharashtra + 29 more",25 years old,1k-5k employees (Global)
444,Mother Dairy Fruit...,4.1,(740 Reviews),Private,"Noida,Uttar Pradesh + 82 more",47 years old,5k-10k employees (Global)
445,BA Continuum,4.4,(740 Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",18 years old,1k-5k employees (India)
446,Tech Mahindra Busi...,3.4,(738 Reviews),"Mumbai,Maharashtra + 21 more",18 years old,5k-10k employees (Global),nan
447,SRL Diagnostics,4.1,(737 Reviews),Private,"Gurgaon/Gurugram,Haryana + 98 more",26 years old,5k-10k employees (Global)
448,DHL Express,4.2,(737 Reviews),Private,Bonn + 68 more,42 years old,1k-5k employees (India)
449,Kotak Securities,3.8,(735 Reviews),Private,"Mumbai,Maharashtra + 81 more",27 years old,5k-10k employees (Global)
450,Ocwen Financial So...,4.0,(733 Reviews),Private,"West Palm Beach,Florida + 6 more",33 years old,1k-5k employees (India)
451,RMSI,3.8,(732 Reviews),Private,"Noida,Uttar Pradesh + 9 more",29 years old,1k-5k employees (Global)
452,Cybage,3.8,(732 Reviews),Private,"Pune,Maharashtra + 3 more",26 years old,1k-5k employees (Global)
453,Exl India,3.7,(731 Reviews),New Delhi + 19 more,64 years old,10k-50k employees (Global),nan
454,Reliance General I...,3.9,(729 Reviews),Private,"Mumbai,Maharashtra + 128 more",21 years old,5k-10k employees (Global)
455,Extramarks Educati...,3.0,(729 Reviews),Private,"Noida,Uttar Pradesh + 74 more",14 years old,1k-5k employees (Global)
456,Emami,4.0,(729 Reviews),Public,"Kolkata,West Bengal + 109 more",47 years old,10k-50k employees (India)
457,Aricent,3.7,(729 Reviews),Private,"Santa Clara,California + 11 more",39 years old,5k-10k employees (India)
458,Vfs Global Service...,3.8,(728 Reviews),Private,"Mumbai,Maharashtra + 21 more",20 years old,5k-10k employees (Global)
459,Gannon Dunkerley,4.0,(727 Reviews),Private,"Mumbai,Maharashtra + 47 more",97 years old,10k-50k employees (Global)
460,Shell,4.2,(726 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 57 more",17 years old,50k-1 Lakh employees (Global)
461,Barclays,4.1,(723 Reviews),Private,London + 18 more,331 years old,5k-10k employees (India)
462,Cavinkare,4.1,(721 Reviews),Private,"Chennai,Tamil Nadu + 95 more",38 years old,1k-5k employees (Global)
463,Verizon,4.0,(720 Reviews),Private,"New York,New York + 6 more",21 years old,5k-10k employees (India)
464,Microland,3.6,(718 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 27 more",32 years old,1k-5k employees (Global)
465,Satin Creditcare N...,4.2,(713 Reviews),Public,"Gurgaon/Gurugram,Haryana + 149 more",31 years old,5k-10k employees (India)
466,Varroc Group,3.8,(713 Reviews),Public,Aurangabad + 23 more,33 years old,10k-50k employees (Global)
467,Bank of Baroda,3.7,(711 Reviews),Private,"Vadodara/Baroda,Gujrat + 148 more",113 years old,50k-1 Lakh employees (Global)
468,Indian Air Force,4.5,(708 Reviews),Private,"New Delhi,Delhi + 78 more",89 years old,1 Lakh+ employees (Global)
469,HCL Technologies B...,3.6,(708 Reviews),Private,Noida + 23 more,21 years old,10k-50k employees (Global)
470,Fujitsu,3.8,(707 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",86 years old,1 Lakh+ employees (Global)
471,KocharTech,3.9,(706 Reviews),Private,"Gurgaon/Gurugram,Haryana + 17 more",26 years old,1k-5k employees (India)
472,Grofers,4.0,(706 Reviews),Private,"Gurgaon/Gurugram,Haryana + 34 more",8 years old,1k-5k employees (India)
473,USHA International,4.2,(704 Reviews),Public,"Gurgaon/Gurugram,Haryana + 71 more",87 years old,5k-10k employees (Global)
474,Medanta the Medici...,4.1,(703 Reviews),Private,Gurgaon + 24 more,12 years old,1k-5k employees (Global)
475,First American Cor...,4.0,(703 Reviews),Private,"Santa Ana,California + 8 more",132 years old,1k-5k employees (India)
476,Synechron,3.9,(702 Reviews),Private,"New York,New York + 8 more",20 years old,5k-10k employees (India)
477,AECOM,4.0,(700 Reviews),Private,"Los Angeles,California + 71 more",31 years old,1k-5k employees (India)
478,JW Marriott,4.3,(694 Reviews),Private,"Bethesda,Maryland + 32 more",94 years old,1k-5k employees (India)
479,Trident Group,3.8,(694 Reviews),Public,"Ludhiana,Punjab + 33 more",31 years old,10k-50k employees (Global)
480,FedEx Express,4.3,(693 Reviews),Private,"Memphis,Tennessee + 70 more",50 years old,1k-5k employees (India)
481,Motherson Automoti...,4.1,(693 Reviews),Private,Noida + 33 more,24 years old,10k-50k employees (Global)
482,Pantaloons,4.2,(692 Reviews),"Mumbai,Maharashtra + 98 more",24 years old,5k-10k employees (Global),nan
483,Bharat Forge,3.9,(692 Reviews),Public,"Pune,Maharashtra + 11 more",60 years old,1k-5k employees (Global)
484,ISS Facility Servi...,4.3,(690 Reviews),Private,Copenhagen + 43 more,16 years old,50k-1 Lakh employees (India)
485,Medi Assist India,3.8,(690 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 38 more",19 years old,1k-5k employees (Global)
486,Akzo Nobel India,4.2,(690 Reviews),Public,Amsterdam + 99 more,82 years old,1k-5k employees (India)
487,State Street Corpo...,3.6,(690 Reviews),Private,Massachusetts + 9 more,11 years old,5k-10k employees (India)
488,Intex Technologies,4.0,(690 Reviews),Public,"Delhi/NCR,New Delhi + 68 more",25 years old,10k-50k employees (Global)
489,BlackBuck,3.8,(689 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 114 more",6 years old,1k-5k employees (India)
490,Sitel,3.8,(688 Reviews),Private,"Miami,Florida + 8 more",36 years old,1k-5k employees (India)
491,Bayer,4.4,(687 Reviews),Public,"Thane,Maharashtra + 133 more",158 years old,10k-50k employees (India)
492,Innovsource Servic...,4.1,(685 Reviews),"Mumbai,Maharashtra + 104 more",17 years old,1k-5k employees (Global),nan
493,Jindal Stainless,4.1,(685 Reviews),Public,"Delhi/NCR,New Delhi + 36 more",51 years old,10k-50k employees (India)
494,Swaraj Tractors,4.3,(684 Reviews),"Mumbai,Maharashtra + 84 more",59 years old,nan,nan
495,Allsec Technologie...,3.7,(684 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 13 more",21 years old,1k-5k employees (Global)
496,Hindustan Petroleu...,4.3,(682 Reviews),Public,"Mumbai,Maharashtra + 113 more",47 years old,10k-50k employees (Global)
497,Safexpress,4.1,(679 Reviews),Private,"Delhi/NCR,Delhi + 93 more",24 years old,1k-5k employees (Global)
498,Vardhman Textiles,4.1,(676 Reviews),Public,Ludhiana + 40 more,59 years old,10k-50k employees (Global)
499,L.G.Balakrishnan &...,3.9,(675 Reviews),Public,"Coimbatore,Tamil Nadu + 28 more",84 years old,1k-5k employees (Global)
500,Cinépolis,4.4,(675 Reviews),Morelia + 42 more,50 years old,501-1k employees (India),nan
501,Nayara Energy,4.1,(674 Reviews),"Mumbai,Maharashtra + 55 more",32 years old,1k-5k employees (Global),nan
502,NCR Corporation,3.9,(674 Reviews),Private,"Atlanta,Georgia + 52 more",137 years old,5k-10k employees (India)
